time,id,text
2021-06-06 08:36:37,1401457989618446342,I guess we read the instructions haha https://t.co/S3YXcUCaWN
2021-06-05 21:18:43,1401287393228038149,"Don’t kill what you hate,
Save what you love"
2021-06-05 18:55:49,1401251430015582209,"Goods &amp; services are the real economy, any form of money is simply the accounting thereof"
2021-06-05 08:39:49,1401096409428934659,💦🚀 –&gt; 🌙
2021-06-04 03:25:26,1400654905149476865,"Canada
USA
Mexico"
2021-06-04 02:49:24,1400645833150840835,https://t.co/MLhu6oOwgc
2021-06-04 01:07:04,1400620080090730501,#Bitcoin 💔 https://t.co/lNnEfMdtJf
2021-06-02 07:05:02,1399985389725753346,Found this pic of me as a child https://t.co/hUEKluRAdP
2021-05-30 19:42:22,1399088815705399305,Ocean spaceport Deimos is under construction for launch next year https://t.co/WJQka399c7
2021-05-29 05:01:18,1398504702988390400,"Model S Plaid delivery pushed to June 10. Needs one more week of tweak.

This car feels like a spaceship. Words cannot describe the limbic resonance."
2021-05-28 04:56:24,1398141080000942082,https://t.co/0YDXE4KJlP
2021-05-28 03:47:51,1398123830871150600,"Ship 16 &amp; Booster 2, Starbase Highbay https://t.co/IUuidOw9ym"
2021-05-26 18:49:21,1397625923256549376,"If only they had spaceships, they’d still be around"
2021-05-26 18:47:30,1397625459437826049,Deep thots https://t.co/J5mJff7IIL
2021-05-24 20:29:33,1396926365996261382,"Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha"
2021-05-24 19:49:56,1396916392629137409,"If you’d like to help develop Doge, please submit ideas on GitHub &amp; https://t.co/liAPQMFaQB @dogecoin_devs"
2021-05-24 19:42:36,1396914548167233537,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.
2021-05-22 22:22:56,1396230120692543489,https://t.co/7afq6DIlzc
2021-05-22 09:22:41,1396033766490087426,Any sufficiently advanced magic is indistinguishable from technology
2021-05-20 10:41:00,1395328697436033032,How much is that Doge in the window? https://t.co/bxTkWOr50V
2021-05-20 07:54:54,1395286896842985479,"Tesla Model S Plaid delivery event
June 3 at our California factory

Fastest production car ever
0 to 60mph in under 2 secs"
2021-05-19 15:41:10,1395041849438519296,Credit to our Master of Coin
2021-05-19 14:42:44,1395027147161489412,Tesla has 💎 🙌
2021-05-18 13:43:19,1394649803599093762,"Aiming for extreme precision with next gen Model Y – microns, not millimeters"
2021-05-18 11:46:18,1394620356674134019,Giga Berlin suppliers please accelerate!
2021-05-18 09:25:14,1394584856386961411,https://t.co/13m1KHFMjv
2021-05-13 23:30:52,1392985728271884288,As always https://t.co/gtFmtokzEZ
2021-05-13 22:45:16,1392974251011895300,Working with Doge devs to improve system transaction efficiency. Potentially promising.
2021-05-13 21:11:46,1392950720979030019,"To be clear, I strongly believe in crypto, but it can’t drive a massive increase in fossil fuel use, especially coal"
2021-05-13 20:59:45,1392947696470659072,It is high time there was a carbon tax!
2021-05-13 09:54:35,1392780304138473473,Energy usage trend over past few months is insane https://t.co/E6o9s87trw https://t.co/bmv9wotwKe
2021-05-12 22:06:14,1392602041025843203,Tesla &amp; Bitcoin https://t.co/YSswJmVZhP
2021-05-11 08:13:35,1392030108274159619,Do you want Tesla to accept Doge?
2021-05-11 07:04:25,1392012701522669577,"SNL Monologue
https://t.co/b2cvFGqVFF"
2021-05-10 23:32:58,1391899092666572800,"Thanks again to @nbcsnl cast, writers &amp; crew! Honor &amp; pleasure to do the show with you."
2021-05-09 13:21:16,1391382766764298245,"Wario was my fav haha 👀 
https://t.co/TNjn3meLVJ"
2021-05-08 20:39:52,1391130755787599881,"Special link to view SNL outside USA
https://t.co/egSDZ8sNFu"
2021-05-08 09:03:01,1390955387654914052,First time a Falcon rocket booster will reach double digits in flights https://t.co/wrojsaGExZ
2021-05-08 01:22:52,1390839584225955847,Cybertruck prototype in New York this weekend
2021-05-07 21:05:35,1390774840135766019,Guest starring … https://t.co/buM3bTOWbX
2021-05-07 20:57:52,1390772894951673858,https://t.co/DlQtmfjKqL
2021-05-07 04:24:20,1390522866979033092,"Cryptocurrency is promising, but please invest with caution! https://t.co/A4kplcP8Vq"
2021-05-06 19:26:59,1390387635961610242,Make humanity a multiplanet species!
2021-05-06 19:26:09,1390387429375369216,Public support for life on Mars is critical to making it happen
2021-05-05 22:37:20,1390073153347592192,Starship landing nominal!
2021-05-05 22:22:39,1390069456177704965,About to launch https://t.co/t4nki8vU4E
2021-05-02 03:13:36,1388693126206918658,I love Art Deco
2021-05-01 21:56:54,1388613426868625416,Baby Shark &amp; Shark Tank merge to form Baby Shark Tank
2021-05-01 21:53:38,1388612603480510469,Irony Man – defeats villains using the power of irony
2021-05-01 21:49:50,1388611645560262660,Throwing out some skit ideas for SNL. What should I do?
2021-05-01 21:36:22,1388608259255377920,"Woke James Bond
SNL May 8"
